S. No,Year,Category,State/UT,Unrecovered/Untraced Persons from Previous years - Male,Unrecovered/Untraced Persons from Previous years - Female,Unrecovered/Untraced Persons from Previous years - Trans,Unrecovered/Untraced Persons from Previous years - Total,Persons Missing this year - Male,Persons Missing this year - Female,Persons Missing this year - Trans,Persons Missing this year - Total,Total Persons Missing - Male,Total Persons Missing - Female,Total Persons Missing - Trans,Total Persons Missing - Total,Total Recovered/Traced this year - Male,Total Recovered/Traced this year - Female,Total Recovered/Traced this year - Trans,Total Recovered/Traced this year - Total,Percentage Recovery (Total Recovered or Traced/ Total Missing) * 100 - Male,Percentage Recovery (Total Recovered or Traced/ Total Missing) * 100 - Female,Percentage Recovery (Total Recovered or Traced/ Total Missing) * 100 - Trans,Percentage Recovery (Total Recovered or Traced/ Total Missing) * 100 - Total,Un-Recovered/Untraced Persons (including previous years Untraced Missing Persons) - Male,Un-Recovered/Untraced Persons (including previous years Untraced Missing Persons) - Female,Un-Recovered/Untraced Persons (including previous years Untraced Missing Persons) - Trans,Un-Recovered/Untraced Persons (including previous years Untraced Missing Persons) - Total
1,2017,State,Andhra Pradesh,4173,2990,5,7168,3114,5225,7,8346,7287,8215,12,15514,3747,6423,7,10177,51.4,78.2,58.3,65.6,3540,1792,5,5337
2,2017,State,Arunachal Pradesh,2,93,0,95,9,90,0,99,11,183,0,194,7,96,0,103,63.6,52.5,NA,53.1,4,87,0,91
3,2017,State,Assam,530,1223,0,1753,997,2302,0,3299,1527,3525,0,5052,1015,2314,0,3329,66.5,65.6,NA,65.9,512,1211,0,1723
4,2017,State,Bihar,1523,2935,86,4544,1932,6020,146,8098,3455,8955,232,12642,1045,3561,104,4710,30.2,39.8,44.8,37.3,2410,5394,128,7932
5,2017,State,Chhattisgarh,4366,5836,0,10202,3449,7383,0,10832,7815,13219,0,21034,2945,6501,0,9446,37.7,49.2,NA,44.9,4870,6718,0,11588
6,2017,State,Goa,475,230,0,705,304,274,0,578,779,504,0,1283,261,254,0,515,33.5,50.4,NA,40.1,518,250,0,768
7,2017,State,Gujarat,4174,4240,0,8414,4509,7712,1,12222,8683,11952,1,20636,5291,8481,1,13773,60.9,71,100,66.7,3392,3471,0,6863
8,2017,State,Haryana,4229,3641,0,7870,3334,4780,0,8114,7563,8421,0,15984,3555,5003,0,8558,47,59.4,NA,53.5,4008,3418,0,7426
9,2017,State,Himachal Pradesh,785,506,0,1291,512,852,0,1364,1297,1358,0,2655,648,881,0,1529,50,64.9,NA,57.6,649,477,0,1126
10,2017,State,Jammu & Kashmir,1935,1360,0,3295,849,1044,0,1893,2784,2404,0,5188,904,942,0,1846,32.5,39.2,NA,35.6,1880,1462,0,3342
11,2017,State,Jharkhand,729,620,0,1349,426,361,0,787,1155,981,0,2136,469,469,0,938,40.6,47.8,NA,43.9,686,512,0,1198
12,2017,State,Karnataka,5466,4335,0,9801,5796,8757,0,14553,11262,13092,0,24354,4711,8247,0,12958,41.8,63,NA,53.2,6551,4845,0,11396
13,2017,State,Kerala,950,531,0,1481,3201,6076,8,9285,4151,6607,8,10766,3029,6161,8,9198,73,93.2,100,85.4,1122,446,0,1568
14,2017,State,Madhya Pradesh,10448,20500,0,30948,12699,26587,0,39286,23147,47087,0,70234,10767,21490,0,32257,46.5,45.6,0,45.7,12380,25597,0,37977
15,2017,State,Maharashtra,27632,26636,0,54268,23386,29279,254,52919,51018,55915,254,107187,23680,27966,225,51871,46.4,50,88.6,48.4,27338,27949,29,55316
16,2017,State,Manipur,20,28,0,48,150,139,0,289,170,167,0,337,136,130,0,266,80,77.8,NA,78.9,34,37,0,71
17,2017,State,Meghalaya,72,58,0,130,142,172,0,314,214,230,0,444,93,131,0,224,43.5,57,NA,50.5,121,99,0,220
18,2017,State,Mizoram,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,NA,100,NA,100,0,0,0,0
19,2017,State,Nagaland,9,17,0,26,50,89,0,139,59,106,0,165,58,105,0,163,98.3,99.1,NA,98.8,1,1,0,2
20,2017,State,Odisha,6370,18619,0,24989,1679,4187,0,5866,8049,22806,0,30855,6900,20138,0,27038,85.7,88.3,NA,87.6,1149,2668,0,3817
21,2017,State,Punjab,5589,3120,0,8709,1243,1256,0,2499,6832,4376,0,11208,1339,1377,0,2716,19.6,31.5,NA,24.2,5493,2999,0,8492
22,2017,State,Rajasthan,4418,4436,0,8854,4575,10230,0,14805,8993,14666,0,23659,4376,9684,0,14060,48.7,66,NA,59.4,4617,4982,0,9599
23,2017,State,Sikkim,34,33,0,67,180,222,0,402,214,255,0,469,191,235,0,426,89.3,92.2,NA,90.8,23,20,0,43
24,2017,State,Tamil Nadu,5304,4514,0,9818,4811,9564,1,14376,10115,14078,1,24194,4846,10679,1,15526,47.9,75.9,100,64.2,5269,3399,0,8668
25,2017,State,Telangana,3035,2583,0,5618,5465,8405,0,13870,8500,10988,0,19488,5280,7957,0,13237,62.1,72.4,NA,67.9,3220,3031,0,6251
26,2017,State,Tripura,218,197,0,415,460,866,0,1326,678,1063,0,1741,438,873,0,1311,64.6,82.1,NA,75.3,240,190,0,430
27,2017,State,Uttar Pradesh,7045,4635,0,11680,5255,4511,0,9766,12300,9146,0,21446,4006,3525,0,7531,32.6,38.5,NA,35.1,8294,5621,0,13915
28,2017,State,Uttarakhand,1207,613,0,1820,1254,1081,0,2335,2461,1694,0,4155,586,769,0,1355,23.8,45.4,NA,32.6,1875,925,0,2800
29,2017,State,West Bengal,23107,39124,0,62231,15542,28133,0,43675,38649,67257,0,105906,19171,34174,0,53345,49.6,50.8,NA,50.4,19478,33083,0,52561
30,2017,Union Territory,A & N Islands,100,41,0,141,70,65,0,135,170,106,0,276,55,53,0,108,32.4,50,NA,39.1,115,53,0,168
31,2017,Union Territory,Chandigarh,723,688,0,1411,253,341,0,594,976,1029,0,2005,169,251,0,420,17.3,24.4,NA,20.9,807,778,0,1585
